,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
1447,309.561,13.0,53,1.6244668,5169,2099,309.52,-0.9817248,-0.19030608
1448,309.561,13.0,10,2.9807963,5570,1674,309.582,0.56897855,0.8223524
1449,309.561,13.0,9,3.0874493,5013,1663,309.554,-0.52492255,-0.85115
1450,309.891,13.0,39,1.5393739,5091,1930,309.679,0.5955993,-0.80328166
1451,309.891,13.0,47,0.2492932,2193,1873,309.82,0.88517696,-0.46525452
1452,309.891,13.0,45,1.088848,1889,1710,308.899,-0.9949197,-0.100671574
1453,309.891,13.0,5,1.0843647,4515,1992,308.453,0.89902294,0.43790153
1454,309.891,11.0,5,0.32153127,4130,2921,308.019,0.835664,-0.54924107
1455,309.812,11.0,5,0.112032026,7834,0,308.333,-0.61160195,0.79116565
1456,309.812,17.0,5,0.14385772,0,0,302.561,0.5913938,0.80638283
1457,309.812,17.0,4,0.19615258,0,0,302.388,-0.9758353,0.21850717
1458,309.812,17.0,13,0.14423965,0,0,302.316,0.7922784,-0.61015975
1459,309.812,17.0,6,0.09385026,0,0,302.278,0.984382,-0.17604594
1460,301.354,17.0,9,0.28571713,0,0,300.935,0.201513,-0.9794858
1461,301.354,17.0,11,0.39947975,0,0,301.71,0.8724003,0.48879212
1462,301.354,17.0,12,0.5046054,0,0,302.924,-0.05018156,-0.99874014
1463,301.354,17.0,12,0.5009099,0,0,302.338,-0.774684,0.63234854
1464,301.354,17.0,17,0.41162837,0,0,302.161,0.36849234,-0.92963076
1465,301.603,17.0,17,0.21839565,0,0,302.121,0.6195862,0.7849286
1466,301.603,17.0,16,0.07267232,0,0,301.977,0.9717738,0.23591454
1467,301.603,17.0,16,0.14968304,0,0,301.681,0.5242547,0.85156155
1468,301.603,17.0,15,0.15964863,0,0,301.629,-0.18445651,-0.98284066
1469,301.603,17.0,15,,0,0,302.14,,
1470,307.127,14.0,51,,5276,3172,305.677,,
1471,307.127,12.0,37,14.874306,5276,3834,305.772,-0.18447277,-0.9828376
1472,307.127,12.0,38,15.521975,7252,4766,305.747,0.8132406,0.5819276
1473,307.127,14.0,86,11.892059,7252,4468,306.116,-0.80648583,0.5912534
1474,307.127,14.0,37,7.6648893,6778,4110,306.751,-0.98672754,0.16238454
1475,307.281,12.0,26,3.0905328,5648,4545,307.483,-0.4695063,0.88292915
1476,307.281,14.0,24,0.7616726,5282,3853,307.806,0.8030781,-0.5958738
1477,307.281,14.0,24,0.42624855,5625,2957,307.779,-0.9526927,0.3039353
1478,307.281,14.0,21,0.39635655,5956,3094,307.818,0.95174474,-0.30689085
1479,307.281,14.0,23,0.5519492,6937,3629,307.862,0.90791243,-0.41915986
